ID,Title,Authors,Source Title,Publication Year,Volume,Issue,Supplement ,Beginning Page,Ending Page,DOI,Total Citations,Conference Title,Conference Date ,Exclude (y/n),Plant genotype origin,Continent,latitude,longitude,Site 1,Site 2,Site 3,Site 4,Site 5,Site 6,Ecosystem,type of experiment,method primary,method secondary,hypothesis,secondary hypothesis,comments,Replicates ,Fitness measured (y/n),Proxy
37,Neo allopatry and rapid reproductive isolation,"Montesinos, Daniel; Santiago, Gilberto; Callaway, Ragan M",The American Naturalist,2012,180,4,,529,533,10.5061/dryad.97g9b,8,,,,"Spain, California","Europe, North America",,,University of Montana at Missoula,,,,,,greenhouse,manipulative,ex situ,"measure morphological traits, manual pollination (brush), seed counting ",reproductive isolation,evolution,"Seed production by the nonhybrid Centaurea solstitialis and Centaurea sulphurea was reduced by 52% and 44%, respectively, when North American plants were pollinated by conspecifics from Europewhen compared with those pollinated by conspecifics from North America. This implies that a degree of reproductive isolation has developed rapidly within <200 years between populations in their native and non-native ranges. ",yes - number not specified,y,"inflorescence number, seed size, germination, plant size"
38,Soil type mediates indirect interactions between Centaurea solstitialis and its biocontrol agents ,"Swope, Sarah M; Stein, Ilana R",Biological Invasions,2012,14,8,,1697,1710,10.1007/s10530-012-0181-5,5,,,,USA,North America,,,"The Grid site (38¡49«29««N, 122¡20«38««W), McLaughlin Natural Reserve","0.64 km SE of the Grid site (38¡49«36.07««N, 122¡20«20.88««W)",,,,,grasslands dominated by exotic grasses/serpentine and non-serpentine soils,manipulative,in situ,"plant measurments, plant surveys, count leaves infested by fungi, collection, plant harvesting, drying, weighting,  inflorescence dissections, analyze Ca++ in dried plants, seed grounding and combustion and measuring total N",interactions,biocontrol ,"When attacked by the seed predators, inßorescences produced more viable seed when they were on plants infected with the pathogen than when they were on uninfected plants and the data suggest that this reßects reductions in larval seed feeding. On the non-serpentine soil, the pathogenÕs direct, negative impact was entirely canceled out by its indirect, positive effect via reduced seed predation. On the serpentine soil, plants attacked by the pathogen and the insect seed predators produced half as many seeds than plants attacked only by the seed predators.",,y,"leaf, inflorescence, ovules, biomass, viable seeds, Ca++ level, total N level"
39,Morphological differentiation in a common garden experiment among native and non native specimens of the invasive weed yellow star thistle (Centaurea solstitialis),"Eriksen, Renee L; Desronvil, Theodora; Hierro, Jose L; Kesseli, Rick",Biological Invasions,2012,14,7,,1459,1467,10.1007/s10530-012-0172-6,11,,,,"Argentina, USA, Georgia, Turkey","North America, South America,  Eurasia",,,University of Massachusetts-Boston,,,,,,growth room/greenhouse,manipulative,ex situ,"measure morphological traits, tissue collection, photography, DNA extraction, microsatellites (EST-SSR loci)",evolution,local adaptation,"Plants from non-native regions tended to be taller, have longer leaves, and they tended to have fewer leaf indentations and thus more leaf surface area than plants from native regions. In addition, plants from non native regions flowered earlier achieving their first bolt nearly twice as early as individuals from native regions. Quantitative variation was much more likely to be partitioned among regions than genetic variation. Evidence for possible selection on plant height and leaf length in the non native regions. ",,y,"germination, third and fifth true leaf, plant height, leaf shape, days until bolting, days until flowering, flower number, plant size at senescence "
40,"Plant communities in urban habitats of Istanbul, Turkey","Altay, Volkan; Ozyigit, Ibrahim Ilker; Yarci, Celal",Pakistan Journal of Botany,2012,44,1,,177,186,,2,,,,Turkey,Eurasia, 40¡48'-41¡16,29¡04-29¡58,East side of Istanbul,"10 districts (Adalar, Beykoz, Kadikoy, Kartal, Maltepe, Pendik, Sultanbeyli Tuzla, Umraniye and Uskudar)",,,,,continental,observational,in situ,"collection, determine soil texture, values of sand, clay and silt, electrical conductivity, pH-meter, calcimeter, spectrophotometer (plant available soil phosporus), plant survey, identification, record ecological data",urban vegetation distribution,,Centaurea solstitialis subsp. solstitialis community preferred lower K2O concentrations.,,n,
41,Toxic equine Parkinsonism: An immunihistochemical study of 10 horses with nigropallidal encephalomalacia ,"Chang, HT; Rumbeiha, WK; Patterson, JS; Puschner, B",Veterinary Pathology,2011,49,2,,398,402,10.1177/0300985811406885,1,,,veterinary medicine,USA,North America,,,"Department of Neurology and Ophthalmology, Michigan State University",,,,,,laboratory,manipulative,ex situ,"mounting tissue sections, imunohistochemistry, microscopy",neuropathologic alterations of  nigropallidal encephalomalacia,,"Repin, the most abundant constituent isolated from these plants, is considered a leading suspect for causing equine NPE,17 and it has been shown to reduce both cellular glutathione and mitochondrial functions in PC12 cells in tissue culture.",,n,
42,Invasive species grows faster competes better and shows greater evolution toward increased seed size and growth than exotic non invasive congeners ,"Graebner, Ryan C; Callaway, Ragan, M; Montesinos, Daniel",Plant Ecology,2012,213,4,,545,553,10.1007/s11258-012-0020-x,23,,,,"Spain, USA","North America, Europe",,,University of Montana at Missoula,,,,,,common garden greenhouse,manipulative,ex situ,"plant harvesting, drying, weighting, RGR, measurments",competition,local adaptation,"The invasive C. solstitialis had the smallest seeds and seedlings of the three congeners. However, in contrast to its non invasive congeners, C. solstitialis had the highest relative growth rates when grown in competition. C. solstitialis was also the only species to show significant differences in traits between populations from different ranges with plants from the non native range of California demonstrating greater competitive resistance, larger seed size and larger seedling mass than plants from the native range of Spain. ",,y,"seed mass and size, relative growth rate, plant size, biomass"
43,Geographic mosaic of plant soil microbe interactions in a global plant invasion,"Andonian, Krikor; Hierro, Jose L; nKhetsuriani, Liana; Becerra, Pablo I; Janoyan, Grigor; Villareal, Diego; Cavieres, Lohengrin A; Fox, Laurel R; Callaway, Ragan M",Journal of Biogeography,2012,39,3,,600,608,10.1111/j.1365-2699.2011.02629.x,8,,,,"Argentina, Chile, USA, Armenia, Georgia","North America, South America, Eurasia",,,"University of California, Santa Cruz",,,,,,greenhouse,manipulative,ex situ,"plant harvesting, drying and weighting",interactions,natural enemy release,C. solstitialis experiences biogeographic mosaics of plantÐsoil interactions that vary in their interaction strengths and inßuence its world-wide performance,5-6,y,"root, shoot & total biomass, root:shoot ratio (RSR)"
44,Mineral and heavy metal contents of different honeys produced in Turkey,"Ozcan, Mehmet Musa; Olmez, Ciler; Arslan, Derya; Dursun, Nesim",Journal of Apicultural Research,2012,51,4,,353,358,10.3896/IBRA.1.51.4.10,1,,,analysis of honey,Turkey,Eurasia,,,"Seluk University, Konya",,,,,,laboratory,manipulative,ex situ,"honey incineration, ICP-Atomic Emission Spectrometer, quantify mineral content",honey mineral content,,Mineral and heavy metal contents of the honey,3,n,
45,Abundance declines of a native forb have nonlinear impacts on grassland invasion resistance ,"Hulvey, Kristin B; Zavaleta, Erika S",Ecology,2012,93,2,,378,388,10.1890/11-0091.1,10,,,,USA,North America,37¡24«N,122¡14« W,"Jasper Ridge Biological Preserve, Standford University, California",,,,,,mesocosm simulating nonserpentine annual grasslands,manipulative,ex situ,"plant harvesting, drying and weighting, soil probes, resin balls (measure available nitrate and ammonium), ceptometer (photosynthetically active radiation)",invasion resistance,species abundance ,"Progressive Hemizonia congesta abundance declines had threshold effects on invasion resistance, with initial declines resulting in minor increases in invasion and subsequent declines leading to accelerating increases in invader performance. Reduced invasion resistance was explained by increased resource availability as H. congesta declined. ",8,y,"biomass, number of inflorescences "
46,Self compatibility and plant invasiveness: comparing species in native and invasive ranges ,"Petanidou, Theodora; Godfree, Robert C; Song, Daniel S; Kantsa, Aphrodite; Dupont, Yoko L; Waser, Nickolas M","Perspectives in Plant ecology, Evolution and Systematics",2012,14,1,,3,12,10.1016/j.ppees.2011.08.003,26,,,,Greece,Europe,,,"Island of Lesvos (4 sites: Mystegna, Oikos, Achladeri bridge, Vassilika farm) ",,,,,,"phrygana scrub, agricultural",manipulative,in situ,"hand pollination, seed collection, counting, dissecting microscope, calculate self incompatibility indices ",self compatibility,differential selection ,"In all populations of C. solstitialis spontaneous self pollination produced fewer seeds on average than outcross pollination by hand although it differed less from self pollination by hand. Populations exhibited a mean SCI between 0 and 1, that is, were neither perfectly SI nor SC. Closer examination within non-weedy populations (C. solstitialis) and within invasive or weedy ones suggests that tis findings of intermediate mean values derives from variable compatibility values across individual plants. ",,y,seed set
47,Host plant oviposition preference of Ceratapion basicorne (Coleoptera: Apionidae) a potential biological control agent of yellow starthistle ,"Smith, Lincoln",Biocontrol Science and Technology,2012,22,4,,407,418,10.1080/09583157.2012.662476,5,,,,USA,North America,,,"Exotic Invasive Weeds Research Unit, USDA Agricultural Research Service, Albany",,,,,,laboratory,manipulative,ex situ,"sleeve box arena, record insect feeding holes, count number of eggs  ",host plant specificity,biocontrol ,"C. basicorne is not likely to attack any of the non-target plant species tested here except possibly C. cyanus and C. melitensis, which are both invasive alien plants",4-21,n,
48,Variable effects of a generalist parasitoid on a biocontrol seed predator and its target weed,"Swope, Sarah M; Satterthwaite, William H",Ecological Applications,2012,22,1,,20,34,10.1890/10-2120.1,4,,,,USA,North America,,,"Loma Alta Open Space Preserve (38¡00«N, 122¡36«W) ","Mount Diablo State Park (37¡51«N, 121¡55«W)",,,,,"coastal, mediterranean",manipulative,in situ,"plant census, inflorescence counts and collection, calculate predation, dissect inflorescences, quantify mortality of weevil larvae, modelling",interactions,"biocontrol, modelling","The biocontrol agent reduced plant density, but its impact on the invader«s spread rate was modest and inconsistent. The agent had no long term impact on population growth rate. Parasitism cause a trophic cascade, the strength of which varied between sites. At the coastal site, the parasitoid entirely eliminated the impact of the agent on the plant. At the Central valley, even when parasitized the agent significantly reduced plant density and spread rate over several decades (although to a lesser degree than when it was not parasitized), but not invader groth rate. ",50 replicate invasions (computer simulations),y,"inflorescence, seeds "
49,"Complex interactions among biocontrol agents, pollinators, and an invasive weed: a structural equation modelling approach ","Swope, Sarah M; Parker, Ingrid M",Ecological Applications,2012,22,8,,2122,2134,10.1890/12-0131.1,7,,,,USA,North America,,,Loma Alta Open Space Preserve ,Mount Diablo State Park ,El Dorado National Forest ,,,,"coastal, mediterranean, montane",observational,in situ,"field survey, plant collection, pollinator observation, harvesting, drying, weighting, dissection, counting, structural equation modelling",interactions,biocontrol ,"The structural equation modelling revealed that bud herbivory had the largest total effect on the weed«s fecundity. The direct effect of bud herbivory on final seed set was 2-4 times larger in magnitude than the direct effect of seed predation by both agents combined. By reducing the number of inflorescences plants produced, bud herbivory indirectly reduced the plant attractiveness to ovipositing seed predators. This indirect, positive pathway reduced bud herbivory«s drect negative effect by 11-25%. Bud herbivory also reduced pollinator visitation, although the magnitude of this pathway was relatively small. E. villosus oviposition deterred C. succeinea oviposition, which is unfortunate because C. succinea is the more voracious of the seed predators. ",,y,"biomass, seed, buds, inflorescence, plant size "
50,Response of biomass and seedbank of rangeland functional groups to mechanical control of yellow starthistle,"Matzek, Virginia; Hill, Shannon",Rangeland Ecology and Mangaement,2012,65,1,,96,100,10.2111/REM-D-11-00013.1 ,2,,,,USA,North America,39¡41«18««N,123¡28«58««W,"Ten Mile Creek, Laytonville, California","California State University, Sacramento ",,,,,watershed/greenhouse,manipulative,in situ/ex situ,"plant harvesting, drying and weighting, collection,  soil corer germination, identification",weed management,,"Late season mowing proved to be effective for controllling yellow starthistle reducing the invader to zero or near zero levels both in aboveground biomass and the seedbank after 3 years of repeated treatments, without adverse effects on forage vegetation. ",,y,biomass
51,"Laboratory and field experimental evaluation of host plant specificity of Aceria sosltitialis, a prospective biological control agent of yellow starthistle ","Stoeva, Atanaska; Harizabova, Vili; de Lillo, Enrico; Cristofaro, Massimo; Smith, Lincoln",Experimental and Applied Acarology,2012,56,1,,43,55,10.1007/s10493-011-9497-6,4,,,,Bulgaria,Europe,,,Agricultural University of Plovdiv,"cultivated field on Campus of the Agricultural University, Plovdiv",,,,,greenhouse/agricultural,manipulative,ex situ/in situ ,"field survey, plant sampling, collection, stereomicroscope examination of plants, counting, mite identification, harvesting, drying, weighting   ",host plant speciÞcity ,biocontrol ,"Aceria solstitialis (mite) can persist on some nontarget plants for as long as 60 days in the laboratory, it appears to be much more speciÞc under natural conditions. ",12,y,"rosette diameter, root, plant wet weight, dry biomass"
52,Species interactions contribute to the success of a global plant invader,"Andonian, Krikor; Hierro, Jose L",Biological Invasions,2011,13,12,,2957,2965,10.1007/s10530-011-9978-x,18,,,,"Armenia, Georgia, USA","North America, Eurasia",,,"University of California, Santa Cruz",,,,,,reciprocal common garden in rooftop greenhouse ,manipulative,ex situ,"monitor plant growth, germination, plant harvesting, drying, weighting ",interactions,soil microbes ,"Performance of Centaurea did not differ among source genotypes, implying that the success of this invasive species is not due to evolutionary changes. However, Centaurea grew significantly larger in soils from introduced regions than from native regions, indiocating a reduction in natural enemy pressure from native populations. Centaurea grew to a greater biomass in California soils, irrespective of seed origin. ",10,y,"germination,  biomass (root, shoot, total), root:shoot ration "
53,Soil depth detection by seeds and diurnally fluctuating temperatures: different dynamics in 10 annual plants,"Saatkamp, Arne; Affre, Laurence; Baumberger, Teddy; Dumas, Pierre Jean; Gasmi, Aida; Gachet, Sophie; Arene, Fabien",Plant Soil,2011,349,1-2,,331,340,10.1007/s11104-011-0878-8,11,,,,France,Europe,43¡20_22_N,5¡24_40_E,Botanical garden of Aix-Marseille University,"Institut MŽditerranŽen dÕƒcologie et de PalŽoŽcologie, Marseille",,,,,growth chamber/plot (burial),manipulative,ex situ,"temperature data loggers, exhumation, counting, viability tests (tetrazolim chloride), bissect seeds",seed mortality,depth detection ,Seeds of several species do not germinate while buried in too deep soil depths. Depth detection mechanisms are more species-specific than expected.,8,y,germination
54,Resistance to Centaurea solstitialis invasion from annual and perennial grasses in California and Argentina ,"Hierro Jose L; Lortie, Christopher L; Villarreal, Diego; Estanga-Mollica, Maria E; Callaway, Ragan M",Biological Invasions,2011,13,10,,2249,2259,10.1007/s10530-011-0037-4,6,,,,"Argentina, USA","North America, South America ",,,"Vegetable Crops field on the campus of University of California at Davis (38¡31«50.89««N, 121¡46«58.14««W)","Juan Williamson Botanical Garden on the Agronomy campus of the National University of La Pampa, Santa Rosa, Argentina (36¡33«17.39««S, 64¡18«06.33««W)",,,,,greenhouse/field plots/growth chamber,manipulative,ex situ/in situ,"LI-COR light meter (photosynthetic active radiation), measure volumetric water content (polyvinyl chloride (PVC) pipes), collection, counting, harvesting, weighting",community invasibility ,competition,Dominant plant functional groups in both northern California and central Argentina offer high competitive resitance to C. solstitialis invasion. A 33% increase in seed mass in Californian populations relative to Argentinian populations. ,1-2,y,"biomass, capitula, seed mass, root:shoot ratio, relative growth rate "
55,The role of light and soil moisture in plant community resistance to invasion by yellow starthistle (Centaurea solstitialis),"Young, Stephen L; Kyser, Guy B; Barney, Jacob n; Claassen, Victor P; Ditomaso Joseph M",Restoration Ecology,2011,19,5,,599,606,10.1111/j.1526-100X.2010.00686.x,4,,,,USA,North America,38¡33«N,121¡48«W,University of California Davis,,,,,,open field dominated by agricultural weeds ,manipulative,in situ ,"visual estimations of species cover, neutron probe (measure soil moisture), ceptometer (measure photosynthetically active radiation) ",community invasibility ,,"Communities with species functionally similar to an invader are more likely to compete for available resources with invasive species. While functional similarity in water depletion patterns between restoration species and C. solstitialis plays a role in invasion resistancem, it appears to be of lesser importance compared to light suppression. ",5,n,
56,"Uptake, translocation and metabolism of aminocyclopyrachlor in prickly lettuce, rush skeletonweed and yellow starthistle","Bell, Jared L; Burke, Ian C; Prather, Timothy S",Pest Mangement Science ,2011,67,10,,1338,1348,10.1002/ps.2197,11,,,,USA,North America,,,"Washington State University, Pullman",,,,,,greenhouse,manipulative,ex situ,"seed germination, plant harvesting, drying, weighting, combustion (biological oxidizer), quantify radioactivity, quantification via liquid scintillation spectrometry, separate herbicide metabolites by normal-phase thin layer chromatography, radiochromatogram scanner,  X-ray Þlm",herbicide uptake and translocation,weed management ,Aminocyclopyrachlor absorption and translocation are dependent on active ingredient structure and species sensitivity. ,4,n,
57,Strong response of an invasive plant species (Centaurea solstitialis L.) to global environmental changes,"Dukes, Jeffrey S; Chiariello, Nona R; Loarie, Scott R; Field, Christopher B",Ecological Applications,2011,21,6,,1887,1894,10.1890/11-0111.1,41,,,,USA,North America,37¡24«N,122¡14«W,"Jasper Ridge Biological Preserve, near Woodside, California",,,,,,field experiment grasslands /mesocosm ,manipulative,in situ,"observations, plant measurments, harvesting, drying, weighting",response to environmental changes ,interactions,"Centaurea grew more than six times larger in response to elevated CO2, and, outside of the burned area, grew more than three times larger in response to nitrate deposition. In contrast, resident plants in the community responded less strongly (or did not respond) to these treatments. Ongoing environmental changes may dramatically increase CentaureaÕs prevalence in western North America",3-12,y,"biomass, leaf length, height of plants, stem diameter, leaf nitrogen, shoot architecture, leaf stem ratio"
58,Field damage to yellow starthistle infected by Synchytrium solstitiale and greenhouse mainatenance and host range of the fungus ,"Eskandari, FM; Bruckart III, WL; Widmer, TL",Plant Disease,2011,95,8,,907,912,10.1094/PDIS-02-11-0139,0,,,,"USA, France","North America, Europe",,,"Cazevieille, France (43¡43«20««N, 03¡47«42««E)","Foreign Disease-Weed Science Research Unit, USA",,,,,field experiment/growth chamber/greenhouse,observational/manipulative,in situ/ex situ,"visual ratings, plant measurments, counting",host specificity,biocontrol,"Naturally infected plants in France were severely damaged by Synchitrium solstitiale. Infectewd plants in the field were significantly smaller in comparison to controls. Several safflower cultivars and other plants related to YST became diseased, thus raising concern about host specificity. ",2,y,"height, plant area, stem diameter, capitula, shoot dry weight"
59,Does superior competitive ability explain yellow starthistle«s (Centaurea solstitialis) successful invasion of annual grasslands in California?,"Spencer, DF; Enloe S; Liow, Pul-Sze; Ksander, Greg; Carruthers, Raymonds",Invasive Plant Science and Mangement ,2011,4,3,,284,295,10.1614/IPSM-D-10-00092.1,4,,,,USA,North America,,,"Davis A station, California",,,,,,pots grown outdoor,manipulative,ex situ,"collection, plant measurments, harvesting, drying, weighting, gravimetric soil moisture determnation, reciprocal yield model (estimate competition)",competition,empty niche ,"Contrary to the EICA hypothesis, yellow starthistle was not a stronger competitor than wild oat when the two species were grown together. In fact, differential soil moisture profiles between yellow starthistle and wild oat support the notion that yellow starthistle avoids competition with resident species such as wild oat through niche partitioning. For either species, intraspecific competition exerted a greater influence over mean plant weight than did interspecific competition.",3,y,"plant height, relative growt rate, biomass, seed head diameter"
60,Control of yellow starthistle (Centaurea solstitialis) and coast fiddleneck (Amsinckia menziesii) with aminopyralid,"Kyser, Guy B; Peterson, Vanelle; Orloff, Steve B; Wright, Steven D; Ditomaso, Joseph M",Invasive Plant Science and Mangement ,2011,4,3,,341,348,10.1614/IPSM-D-11-00002.1,3,,,,USA,North America,,,"Sanger (36.81 N, 119.53 W), Porterville (36.11 N, 118.93W), Auburn (38.9N, 121.1W), Garrod (38.53, 121.76), A-12, UC Davis (38.53N, 121.78W), Yreka (41.72N, 122.61W), Grenada (41.65N, 122.58W), Montague (41.77N, 122.55W) all California ","Walla Walla (46.05N, 118.36W), Washington","Ashland (42.20N, 122.65W), Oregon","Lewiston (46.46N, 117.01 W), Idaho",,,field experiment ,manipulative,in situ,"visual evaluation, collection, harvesting, drying, weighting ",weed management ,chemical control,"Aminopyralid, even at the low rate of 18 g ae ha21, provided nearly complete control of yellow starthistle when treatments were made at the seedling stage. However, less consistent control (80 to 100%) resulted with applications made at the pre-emergence and rosette stages. At the seedling stage, aminopyralid is about four times more effective on yellow starthistle compared to clopyralid, based on the rate of acid equivalent.",4,n,no
61,Range expanding populations of a globally introduced weed experience negative plant soil feedbacks,"Andonian, Krikor; Hierro, Jose L; Khetsuriani, Liana; Becerra, Pablo; Janoyan, Grigor; Villarreal, Diego; Cavieres, Lohengrin; Fox, Laurel R; Callaway, Ragan M",Plos One,2011,6,,,e20117,,10.1371/journal.pone.0020117,14,,,,"Argentina, Chile, USA, Armenia, Georgia","North America, South America, Eurasia",,,"University of California, Santa Cruz",California,Argentina ,Chile,Armenia,Georgia,greenhouse/field survey ,manipulative/observational,ex situ/in situ,"plant harvesting, drying and weighting, field surveys, counting ",interactions,natural enemy release,"Soil microbes reduced Centaurea performance from all regions but to varying degrees. Argentinian plants were most inhibited by their local soil microbes while California plants were least affected. Results suggest that while Centaurea may escape from native Eurasian natural enemy pressure  in some introduced populations (California), they may experience even more pathogen pressure in other introduced regions (Argentina).  ",6-7,y,"germination time, root, shoot and total biomass, root:shoot ratio"
62,Canyon grassland vegetation changes following fire in northern Idaho,"Gucker, Corey L; Bunting, Stephen C",Western North American Naturalist,2011,71,1,,97,105,10.3398/064.071.0113 ,2,,,,USA,North America,,,"Garden Creek Nature Preserve, Idaho",,,,,,grassland,observational,in situ,"visual estimations of canopy cover, calculate diversity indices (richness, Pielou«s evenness, Simpson, Shannon-Weiner) ",plant community composition,fire effects,"Prefire and postfire cover values for Centaurea solstitialis were nearly equal, and there were no significant cover differences between burned and unburned plots in any year.",,n,
63,Antibacterial activities of extractss from twelve Centaurea species from Turkey,"Tekeli, Yener; Zengin, Gokhan; Aktumsek, Abdurrahman; Sezgin Mehmet; Torlak, Emrah",Archives of Biological Sciences,2011,63,3,,685,690,10.2298/ABS1103685T,6,,,,Turkey,Eurasia,,,"Department of Biology, Faculty of Science, Selcuk University",,,,,,laboratory,manipulative,ex situ,"collection, plant methanolic extracts, evaluate antibacterial activity by microdilution method ",antibacterial efffects,,C. sosltitialis exhibited a strong antibacterial effect on S. aureus at a 0.5 mg/ml concentration. ,,n,
64,"Resting spores for long-term storage of Synchytrium solstitiale, a candidate for biological control of yellow starthistle ","Eskandari, FM; Bruckart III, WL; Widmer, TL",Phytopathology,2011,101,6,S,S273,,,0,Potomac Division Meeting Abstracts,March 2011,,USA,North America,,,"Foreign Disease-Weed Science Research Unit, Maryland ",,,,,,growth chamber/greenhouse,manipulative,ex situ,"visual observations, measure viability and virulence of resting spores",biocontrol ,,Successful germination and plant infection occurred from inoculation by resting spore galls after 1.4 or 2.5 years of storage in the lab. ,,y,leaf (fungi sporangium)
65,Synchytrium sosltitiale: reclassification based on the function and role of resting spores ,"Bruckart III, WL;  Eskandari, Farivar M; Widmer, Timothy L",Mycologia,2011,103,4,,775,778,10.3852/10-286 ,1,,,,USA,North America,,,"Foreign Disease-Weed Science Research Unit, Maryland ",,,,,,greenhouse/growth chamber,manipulative,ex situ,"harvesting, visual observations, evaluate spore viability and virulence, aniline blue staining to visualize sporangial gall",biocontrol ,,Resting spores remain viable for more than 2 y in storage at room temperature. ,,y,leaf (fungi sporangium)
66,Effects of mustard oil on germination and growth of yellow starthistle (Centaurea solstitialis L.) ,"Uygur, Sibel",Allelopathy Journal,2011,27,1,,23,32,,0,,,,"Turkey, USA","North America, Eurasia",,,"Department of Plant Sciences, University of California, Davis ","Department of Plant Protection, Cukurova University, Adana",,,,,laboratory/greenhouse,manipulative,ex situ,"record germination, plant measurments, harvesting, drying, weighting",allelopathy,weed management ,"The mustard oil and water mixture inhibited the germination of yellow starthistle seed. When the mixture was sprayed on soil, there was no effect on emergence of yellow starthistle. The mustard oil and water mixture (40%) reduced the dry mass of weed.",4,y,"root radicle and shoot length, wet and dry biomass, plant height, germination "
67,Spatio temporal relationship between water depletion and root distribution patterns of Centaurea solstitialis and two native perennials ,"Young, Stephen L; Kyser, Guy B; Barney, Jacob N; Claassen, Victor P; Ditomaso, Joseph M",Restoration Ecology,2010,18,,2,323,333,10.1111/j.1526-100X.2009.00624.x ,6,,,,USA,North America,38.33«N,121.48«W,Sacramento Valley near Davis,,,,,,grassland,manipulative,in situ,"root observation chambers, measurments, counting, record phenological stage, neutron probe (soil moisture)",resource acquisition ,weed management ,"In water-limited sites infested with C. solstitialis, successful restoration will depend on management of C. solstitialis prior to initiation of stem development and expansion when most water use occurs.",3,y,"mean root production, root measurments "
68,DNA fingerprinting to improve data collection and yield in an open field host specificity test of a weed biological control candidate,"Rector, Brian G; De Biase, Alessio; Cristofaro, Massimo; Primerano, Simona; Belvedere, Silvia; Antonini, Gloria",Invasive Plant Science and Mangement ,2010,3,4,,429,439,10.1614/IPSM-D-10-00019.1 ,7,,,,France,Europe,,,"European Biological Control Laboratory, Montpellier","Viols-le Fort, France",,,,,outdoor pots/greenhouse/pasture,manipulative/observational,ex situ/in situ,"collection, dissection, visual observations, insect identification, DNA extraction, amplify the cytochrome c oxidase I gene",host-specificity test ,biocontrol ,"The French C. basicorne population only attacked yellow starthistle and cornflower, another known host of C. basicorne. Molecular phylogenetic analysis of the insects collected from all other nonhost plants rejected the possibility that any were C. basicorne.",,n,
69,Biological control of yellow starthistle (Centaurea sosltitialis) in the Salmon river Canyon of Idaho,"Birdsall, Jennifer L; Markin, George P",Invasive Plant Science and Mangement ,2010,3,4,,462,469,10.1614/IPSM-D-10-00015.,2,,,,USA,North America,,,"Salmon River Canyon, Idaho",7-14 sampling locations,,,,,,observational,ex situ,"collection, dissection, counting",biocontrol ,,"Vegetation monitoring plots have shown no consistent decline in the overall population of yellow starthistle, indicating that the amount of seed produced is still sufficient to allow full replacement. However, county weed control personnel, who are responsible for surveying and destroying outlying populations of yellow starthistle beyond the containment zone, report that, during this period, the number of new, isolated pockets of yellow starthistle they are finding has dropped dramatically.",,y,"seed set, viability"
70,Back to the basics: using density series to test regulation versus limitation for invasive plants ,"Munshaw, Michael G; Lortie, Christopher J",Plant Ecology,2010,211,1,,1,5,10.1007/s11258-010-9764-3,4,,,,USA,North America,,,"Davis, California",3 sites,,,,,grasslands ,manipulative,ex situ,"collection, records",density series,regulation and limitation,Regulation-based invasion hypotheses which rely on interference such as the diversity resistance hypothesis do not explain the success of C. solstitialis once it is present within a grassland.,,n,
71,Widespread seed limitation affects plant density but not population trajectory in the invasive plant Centaurea solstitialis,"Swope, Sarah M; Parker, Ingrid M",Oecologia,2010,164,1,,117,128,10.1007/s00442-010-1641-1,12,,,,USA,North America,,,"Loma Alta Open Space Preserve (38¡00«N, 122¡36«W)","Mount Diablo State Park (37¡51«N, 121¡55«W)","El Dorado National Forest (36¡46«N, 120¡25«W)",,,,"coastal, mediterranean, montane",manipulative/observational,ex situ,"collection,  plot census, plant identification",seed recruitment ,weed management ,"As a general rule, vertebrate granivores do not contribute to population regulation of C. solstitialis in California.  Seed predation would be expected to reduce flowering plant density but not to lead to overall population declines",6,y,"inflorescence number, viable seeds"
72,Host range determination of Synchytrium solstitiale: Issues as a candidate for biological control of yellow starthistle,"Eskandari, FM; Bruckart III, WL; Widmer, TL",Phytopathology,2010,100,6,S,S206,,,0,Meeting of the North Central Division of the American Phytopathological Society ,Jun 2009,,USA,North America,,,Foreign Disease-Weed Science Research Unit,,,,,,laboratory,manipulative,ex situ,visual observations,host specificity,biocontrol ,Both YST and safflower are susceptible to S. solstitiale and that Russian knapweed and common crupina are not. Data from both studies suggest differential susceptibility to S. solstitiale occurs among plants within the Asteraceae.,,y,leaf (fungi sporangium)
73,Trait mediated interactions and lifetime fitness of the invasive plant Centaurea solstitialis ,"Swope, Sarah M; Parker, Ingrid M",Ecology,2010,91,8,,2284,2293,10.1890/09-0855.1,13,,,,USA,North America,,,Mount Diablo State Park ,,,,,,mediterranean ,manipulative,ex situ,"collection, dissection, census, pollinator observation",interactions,pollinators,"Plants were visited almost exclusively by Apis mellifera, which is known for being a highly effective pollinator. Visitation rates were high and pollinators did not discriminate against infected plants nor did they respond to the proportion of inßorescences attacked by Eustenopus. The net effect was that there was no difference in the number of seeds produced by plants attacked by both enemies vs. those attacked only by one. ",,y,"inflorescence, buds, biomass, height, seed"
